[1000, [244024, 247521, 250716, 251615, 249477, 240120, 254844, 257362, 257384, 252264, 244425, 248454, 246851, 244472, 264898, 249689, 244155, 255163, 252920, 261530], [244, 250, 258, 266, 262, 246, 253, 260, 269, 257, 245, 253, 253, 248, 272, 252, 244, 259, 265, 266], [1.999500, 1.645700, 1.664400, 1.712100, 1.718200, 1.630900, 1.536500, 1.675000, 1.687600, 1.497800, 1.956600, 1.803600, 1.681100, 1.626300, 1.676900, 1.402400, 1.337500, 1.507200, 1.458600, 1.426100]]
[2000, [1019119, 983920, 1008751, 983268, 1006968, 982897, 984919, 1013634, 991405, 996036, 992257, 1006016, 996081, 1014909, 1029248, 1013362, 1028682, 1002633, 982249, 1007587], [510, 507, 508, 501, 506, 493, 496, 512, 510, 504, 494, 497, 507, 506, 532, 517, 503, 501, 480, 522], [6.341200, 5.835500, 6.212700, 5.820400, 5.689300, 5.402800, 5.918500, 5.493100, 5.526300, 6.253200, 5.292200, 5.128200, 5.202000, 5.241400, 5.763500, 5.519000, 5.485600, 5.473100, 5.670200, 5.615500]]
[4000, [4033356, 4030911, 3985042, 4044112, 3963183, 3907159, 4004613, 3964067, 4055891, 4014422, 3953738, 3953577, 4012092, 4028857, 3943271, 3991189, 4040123, 3970611, 4066767, 4007860], [1005, 1019, 998, 1025, 1011, 984, 997, 1003, 1027, 1012, 993, 1004, 1015, 1004, 988, 994, 1007, 998, 1024, 1008], [22.845200, 22.417601, 21.747700, 23.050100, 21.883900, 21.713900, 20.731600, 20.803801, 22.704599, 22.130600, 23.538200, 21.799400, 22.331400, 21.657801, 21.313900, 21.990700, 23.233999, 21.501301, 23.492500, 20.908501]]
[8000, [16042881, 16085264, 16121677, 16079432, 15995259, 15914302, 15936930, 16084008, 16122747, 15944222, 16004848, 16113399, 15697706, 16000928, 16042910, 15966411, 16065560, 15942254, 15964937, 16066474], [2009, 2024, 2028, 2033, 2036, 2011, 2015, 2010, 2019, 2010, 2010, 2067, 1972, 2003, 2010, 2010, 2013, 2008, 2000, 2015], [90.162598, 86.444099, 86.490601, 87.153603, 86.545692, 88.531799, 86.128601, 86.133507, 86.137398, 86.099503, 85.789299, 87.152893, 84.258003, 86.722702, 86.206398, 86.948402, 85.514397, 85.316093, 85.634399, 85.619202]]
[16000, [64372801, 64060860, 63729870, 63912099, 63744864, 64193971, 64066364, 64176634, 63822281, 64297353, 64566517, 64654682, 63817800, 64220338, 64599466, 63920532, 64084398, 64487134, 63722305, 64567102], [4060, 4003, 3977, 3975, 3985, 4053, 4035, 3963, 4021, 4042, 4081, 4085, 4012, 4044, 4063, 3991, 4042, 4060, 4012, 4034], [364.323914, 356.378510, 357.351898, 356.833496, 356.350311, 361.125702, 357.866821, 356.313324, 355.491913, 359.234497, 359.697784, 360.290924, 355.920593, 361.453888, 356.791992, 360.365509, 365.870209, 359.735718, 357.031708, 360.384705]]
[32000, [255256343, 257108119, 256721573, 255391167, 256894819, 255016734, 255621119, 256955820, 255049433, 255240596, 255518801, 254078914, 254855046, 254381218, 255184197, 255907347, 256475701, 257410222, 255130648, 256386032], [7968, 8028, 8037, 8013, 8047, 7965, 7988, 8053, 7962, 7984, 7994, 7958, 7999, 7964, 7977, 7967, 8027, 8064, 7986, 8039], [1492.936401, 1483.197998, 1493.810547, 1485.312378, 1485.579834, 1480.583008, 1474.802124, 1497.347900, 1468.941772, 1490.919189, 1515.045288, 1763.729370, 1619.551758, 1620.442749, 1525.386841, 1541.566895, 1546.580933, 1525.903320, 1559.601807, 1586.221558]]
[64000, [1023276228, 1027810140, 1025649424, 1023984568, 1024734608, 1021698728, 1021358069, 1016852753, 1025963554, 1019954881, 1023099552, 1023405628, 1024662474, 1023753744, 1024083526, 1026417356, 1025063630, 1025773635, 1022228462, 1026623213], [16020, 16037, 16165, 16019, 16059, 15978, 15981, 15868, 16101, 15966, 16011, 15983, 16054, 15984, 16095, 15995, 16062, 16019, 15978, 16011], [6358.808594, 6394.988770, 6275.026367, 6283.981445, 6336.040527, 6230.081543, 6485.535645, 6513.391113, 6982.089844, 6705.588867, 6730.185547, 6294.095215, 6627.224121, 6710.613281, 6630.273926, 7094.705078, 6639.432617, 6328.230469, 6365.541992, 6459.826172]]
[128000, [4089526080, 4094905009, 4083468497, 4088768532, 4075524174, 4098814946, 4087927640, 4109761102, 4104585884, 4094325893, 4089465690, 4088886147, 4104159482, 4099275947, 4099938465, 4105122700, 4102179421, 4089500454, 4100224134, 4098127703], [31967, 31951, 31782, 31932, 31702, 32006, 31879, 32146, 32124, 31971, 31982, 32115, 32105, 32069, 32027, 32064, 32114, 32061, 32022, 32110], [25180.814453, 25193.628906, 25127.962891, 25536.326172, 26763.761719, 25463.283203, 25244.048828, 25258.539062, 25249.175781, 25201.296875, 25219.962891, 25268.484375, 25216.791016, 26964.097656, 27237.625000, 26728.783203, 27814.626953, 26745.748047, 26094.732422, 26372.767578]]
